DIRITTI CONCESSORI,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,"utilizzazione delle opere dell’ingegno, concessioni, licenze, marchi e diritti simili. Gli investimenti dell’esercizio,"
Concessione aeroportuale,,,,,,,,,,,,,"pari a 15.651 mila euro, si riferiscono principalmente all’acquisizione di licenze e alla manutenzione evolutiva dei"
– diritti acquisti,2.167.966,0.0,(1.007.897),1.160.069,0.0,(45.477),0.0,0.0,2.167.966,0.0,(1.053.374),1.114.592,sistemi contabili.
