Crediti verso società collegate,482,482.1,0
Crediti tributari,33.426,37.292,(3.866)
Crediti verso altri,2.75,227.567,(224.817)
TOTALE ALTRE ATTIVITÀ CORRENTI,36.658,265.341,(228.683)
