"buti e sovvenzioni che, nel 2021, includeva il sussidio straordinario che il Governo italiano, tramite la legge 178/2020,",(migliaia di euro),2022,2021
aveva destinato al settore aeroportuale a fronte delle perdite imputabili all’emergenza sanitaria da COVID-19.,Salari e stipendi,72.854,54.427
Per maggiori informazioni si rinvia alla Nota 10.5 Informativa sugli effetti dell’epidemia da COVID-19.,Oneri sociali,19.714,15.008
,Benefici successivi al rapporto di lavoro,5.04,3.361
6.2 Consumo di materie prime e materiali di consumo,Altri costi,2.616,1.4
,TOTALE COSTO PER IL PERSONALE,100.224,74.196
