Unnamed: 0,Valoredi bilancio,Fair Value,Valoredi bilancio.1,Fair Value.1
Tasso fisso,1.515.063,1.300.224,1.521.416,1.605.633
TOTALE PRESTITI OBBLIGAZIONARI,1.515.063,1.300.224,1.521.416,1.605.633
