Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
(migliaia di euro),Crediti al nettodel fondosvalutazione,Crediti nonscaduti,Da 0 a 90 giorni,Tra 90 e 365 giorni,> 1 anno
31.12.2022,207.945,66.810,48.196,979,91.960
31.12.2021,184.597,48.753,38.106,9.577,88.161
