Gruppo ADR66,UdM,Unnamed: 0,2022,2021,2020,201967,Unnamed: 1,UdM.1,2022.1,2021.1,2020.1,2019
Energia consumata all’interno dell’organizzazione per i due scali68,,GJ,822.419,719.195,657.157,902.323,FIUMICINO,,,,,
Da fonti di energia rinnovabili69,,GJ,71.437,67.859,15.228,29.729,Totale tonnellate rifiuti,ton,8.035,4.834,4.793,12.775
Energia elettrica,,GJ,551.984,468.640,424.560,596.205,Rifiuti avviati a recupero71,%,"99,98",99.0,98.0,98.0
Gas naturale e calore da cogenerazione70,,GJ,270.435,249.390,230.575,303.062,CIAMPINO,,,,,
Di cui per riscaldamento,,GJ,172.717,177.513,157.906,167.308,Totale tonnellate rifiuti,ton,988,627.0,560.0,1.132
Di cui per raffreddamento,,GJ,,-,-,-,Rifiuti avviati a recupero,%,98,80.0,65.0,74.0
Gasolio per gruppi di emergenza,,GJ,3.756,1.165,2.021,3.055,,,,,,
