di Atlantia,758.751,(434.598),(62.742),(261.411),0,8.05.2018,8.05.2021,na,"2,59",0.1,3-6,"1,01%","25,8%","5,32%"
estesi ad ADR II,,,,,,,,,,,,,,
Ciclo,,,,,,,,,,,,,,
Piani di,,,,,,,,,,,,,,
phantom stock,,,,,,,,,,,,,,
option 2014,,,,,,,,,,,,,,
di Atlantia,611.682,(48.912),(21.202),(541.568),0.0,10.06.2019,10.06.2022,na,"1,89",0.0,3-6,"0,61%","25,3%","4,94%"
