Canoni uffici12,€/000,1.687,1.098,2.794,+54%
Canoni logistica,€/000,3.938,2.599,4.279,+52%
Canoni polo manutentivo,€/000,7.99,11.553,11.883,-31%
Canoni Altro,€/000,12.566,8.746,17.334,+44%
Totale canoni,€/000,26.181,23.996,36.29,+9%
