0,1,2,3,4
"Valutazione 
al fair value","Rischio tasso 
d’interesse4",,"Rischio tasso 
di cambio",
"31.12.2022
31.12.2021
(1.869.670)
(2.277.049)
54.654
1.900
(83.652)
(119.468)","Shock up            
+100 BPS IR 
31.12.2022
31.12.2021
(2.000)
(3.000)
0
0
25.819
9.180
122
30.933","Shock down            
-100 BPS IR 
31.12.2021
31.12.2022
2.000
3.000
0
0
(28.580)
(10.303)
123
(34.420)","Shock up                  
+10% FX     
31.12.2022
31.12.2021
0
0
(24.241)
(25.587)
0
0
24.241
25.587","Shock down            
-10% FX 
31.12.2021
31.12.2022
0
0
24.241
25.587
0
0
(24.241)
(25.587)"
