0,1,2
"Genere 
UdM 
DIRIGENTI 
%
Donne 
%
Uomini
%","2022 
1,7 
0,4 
1,3","2021
2020
2019
1,7 
1,7 
1
0,3 
0,3 
0,2 
1,4 
1,5 
1"
"QUADRI 
% 
Donne 
% 
Uomini
%","8,2
2,5
5,7","8,9 
8,9 
8 
2,7 
2,7 
2,3 
6,2 
6,2 
5"
"IMPIEGATI 
% 
Donne 
% 
Uomini
%","55,2 
25,1 
30,1","55,4 
55,1 
57 
24,5 
24 
26 
30,9 
31,1 
30"
"OPERAI
% 
Donne 
% 
Uomini
%","34,9 
10,2 
24,7","34,1 
34,3 
34 
9,6 
10,2 
11 
24,5 
24,1 
23"
