,,,,,
ABELLA 72 Consumi energetici del Gruppo ADR (GJ),,,,,
Gruppo ADRS6,UdM,2022,2021,2020,201957
Eneraia consumata all'interno delloraanizzazione per due scali68,822.419,719.195,657.157,902.32,
Da fonti di energia rinnovabili69,71.437,67.859,15.228,29.729,
Energia elettrica,551.984,468.640,424.560,596.20,
Gas naturale e calore da cogenerazione70,270.435,249.390,230.575,303.062,
Di cui per riscaldamento,172.717,177.513,157.906,167.308,
Di cui per raffreddamento,,,,,
Gasolio per aruppi di emeraenza,"3,756",1165,2 021,"3,.055",
