onti Antonello,Atlantia S.p.A.,Consigliere
iva Katia,Atlantia S.pA.,Consigliere
ollegio Sindacale,,
Collegio Sindacale è stato,nominato nell'Assemblea,
egli Azionisti del 28 aprile 20,022 per gli esercizi 2022 -,
224 (fino approvazione bilan,ncio al 31.12.2024).,
ABELLA 6 Composizione,Jel Collegio Sindacale al 31.12.2022,
Nome,Designazione,Risk response
olone Cosimo Giuseppe,Min. Economia e Finanze,Presidente
arducci Roberto,Min. Infrastrutture e Mobilità Sostenibili,Sindaco Effettivo
aspari Ugo Venanzio,Min. Sviluppo Economico,Sindaco Effettivo
apone Roberto,Atlantia S.p.A.,Sindaco Effettivo
lavarra Benedetta,Atlantia S.p.A.,Sindaco Effettivo
istolfi Fulvia,Atlantia S.p.A,Sindaco Supplente
egoliosi Carlo,Atlantia S.pA.,Sindaco Supplente
