Totale tonnellate rifiuti,ton,8.035,4.834,4.793,12.77
Rifiuti avviati a recupero,"99,98",98,,,
CIAMPINO,,,,,
Totale tonnellate rifiuti,ton,988,627,560,1132
Rifiuti avviati a recupero,80,65,,,
9.4.3 Indicatori di performance GRI E,cosistem,a,,,
TABELLA 77 Valore economico generato e distribuito7,,,,,
Componente del valore,UdM,2022,2021,4% vs 2,021
Valore economico generato,€/000,666.959,529.240,269,
Valore economico distribuito,€/000,432.895,264.810,,
Remunerazione dei fornitori73,€/000,163.097,123.301,320,
Remunerazione dei dipendenti,€/000,173.572,121.434,439,
Remunerazione dei finanziatori,€/000,68.201,62.923,,
Remunerazione della pubblica amministrazione,€/000,27.992,~42.856,-1659,
Remunerazione della collettività,€/000,33,3149,,
Valore economico trattenuto,€/000,234.064,264.430,~119,
