,,,,,
li Altri ricavi operativi; pari a 20.019 mila euro; so,ono così composti:,ti:,,,
li Altri ricavi operativi; pari a 20.019 mila euro; so,ono così composti:,ti:,,,
nlyllald Ul Eulu),2822,2822,2822,Cuc,2u2i
Contributi e sovvenzioni,1115,1115,1115,220.03,220.035
Plusvalenze da alienazioni,131,131,131,10,107
Recuperi di spesa,11.939,11.939,11.939,4.95,4.955
Indennizzi da terzi,189,189,189,20,207
Altri proventi,6.645,6.645,6.645,6.542,6.542
TOTALE ALTRI RICAVI OPERATIVI,20.019,20.019,20.019,231.846,231.846
