Gasolio per gruppi di emergenza,3.756,1.165,2.021,3.05,
TABELLA 73 Percentuale di consumo sul totale di energia elettrics,a in GJ,,,,
UdM,2022,2021,2020,2019,
Ftuiictu Ciampino,"94,j0 5,44",JJ,"90,",,
TABELLA 74 Energia venduta e immessa in rete,,,,,
UdM,2022,2021,2020,2019,
Totale eneraia venduta immessa in rete,81.698,8.789,4.35,4.78,
Totale energia venduta e immessa in rete,81.698,8.789,4.357,4.78,
TABELLA 75 Consumi idrici del Gruppo ADR,,,,,
FIUMICINO,UaM,2u22,2u2i,2ucu,2U1
Acqua potabile,Mc,621.797,518.247,560.745,883.52
Acqua industriale,Mc,1.230.884,1.068.769,1.226.732,1.237.00
CIAMPINO,,,,,
Acqua potabile,Mc,185.214,191.451,112.394,101.30
