,,,,,
lle tabelle che seguono sono rapp finanziarie; compresi pagamenti,resentati i pagament per interessi.,i contrattualm,ente dovuti re 3112 2022,lativi alle attiv,ità e passivi -
31.12.2022,,,,,
migliaia di euro) Jroctiti ObhliooJion?,Totale flussi contrattuali 60o 071,Entro lesercizio [ogc Z571,Da 1a 2 anni {017501,Da 2a 5 anni (CGC O5oi,Più di 5 anni (on 750
Teslill Opollgazlorar(,41.098.u7) 7aa,Icoo.bo// 701,(<I( ou) Ano,(209.2901 4770Oo,(844.(90) 790 nC7
inanziamenti a medio-lungo termine?,(713.222),(51.581),(51.240),(339.948),(270.453)
erivati con fair value positivo,63.532,4.076,10.019,20.819,28.618
erivati con fair value negativo;,(83.952),(83.952),,,
Jenvacl Con Talr Valuenegactvo,185.992),185.992),,,
,,,,,
31.12.2021,,,,,
migliaia di euro),Totale flussi contrattuali,Entro l'esercizio,Da 1a 2 anni,Da 2a 5 anni,Più di 5 anni
restiti obbligazionari,(1.755.005),(38.677),(284.578),(65.250),(1.366.500)
inanziamenti a medio-lungo termine?,(716.760),(24.930),(47.049),(331.800),(312.981)
erivati con fair value positivo,1.945,(239),(347),169,2.362
erivati con fair value negativo',(116.405),(7.941),(76.011),(12.851),(19.602)
'OTALE,(2.586.225),(71.787),(407.985),(409.732),(1.696.721)
