Real Estate Uffici,ca 10.000 mq,n landlord.,,,
'occupancy rate per il comparto uffici è prossimo alls,ici è prossimo alla,,,,
aturazione; anche a causa delle importanti ristrut -,oortanti ristrut-,Keal=9lale,rulmnanu,enzlune46,runiauca
urazioni dei terminal che implicano spostamenti di,spostamenti di,Nanyai,,,
ffici operativi e di spazi di supporto; le due torri uffic,; le due torri uffici,Fiumicino ha,disposizione,n sistema di,circa 130.000
esistenti per le quali è allo studio l'ammodernament,Yammodernamento,mq con 5 han,Jar dedicati allz,manutenzioi,ne aeronau -
lelle parti comuni verranno pertanto affiancate da,Jto affiancate da,"tica di linea,",tre a circa 60.0,00 mq ulteric,ri tra Fiumi-
na terza torre di circa 9.500 mq utili ad uso di ufficio,"li ad uso di ufficio,",cino Ciampi,10 per attività,i manutenzio,ni speciali 0
li cui una parte significativa è già stata opzionata.,ata opzionata.,per uso comn,erciale,,
FABELLA 15 Principali ricavi delle attività Real Estate del,vità Real Estate del Grupr,,,,
UdM,UdM,2022,2021,2019,(2022-2021)
Canoni uffici',€/000,1.687,1.098,2.794,+54
Canoni logistica,€/000,3.938,2.599,4.279,+52
Canoni polo manutentivo,€/000,7.990,11.553,11.883,31
Canoni Altro,€/000,12.566,8.746,17.334,+44
Totale canoni,€/000,26.181,23.996,36.290,
