0,1
Investimenti,"Sono così determinati:
+ investimenti Attività materiali al netto degli
Anticipi ai fornitori versati nell’esercizio (vedi Nota
6.1 delle Note illustrative)
+ investimenti Attività immateriali al netto degli
Anticipi ai fornitori versati nell’esercizio (vedi Nota
6.2 delle Note illustrative)
+ ricavi per servizi di costruzione (vedi Nota 7.1 delle
Note illustrative)
+ utilizzi operativi Fondo rinnovo infrastrutture
aeroportuali (vedi Nota 6.13 delle Note illustrative)"
Liquidità,"Disponibilità liquide e mezzi equivalenti come
desumibile dai prospetti contabili consolidati"
