0,1,2,3,4
Valore economico generato,€/000,666.959,529.240,26%
Valore economico distribuito,€/000,432.895,264.810,63%
Remunerazione dei fornitori73,€/000,163.097,123.301,32%
Remunerazione dei dipendenti,€/000,173.572,121.434,43%
Remunerazione dei finanziatori,€/000,68.201,62.923,8%
Remunerazione della pubblica amministrazione,€/000,27.992,-42.856,-165%
Remunerazione della collettività,€/000,33,8,314%
Valore economico trattenuto,€/000,234.064,264.430,-11%
