0,1,2,3,4,5
,"id oicnalib
erolaV","-ca
inoisnec
evouN",isrobmiR,"-zitromma
otteffE
otsoc
otaz","id oicnalib
erolaV"
Finanziamenti a medio/lungo termine,674.244,0,(17.884),277,656.637
quota corrente,17.884,,,,39.423
quota non corrente,656.360,,,,617.214
