0,1,2
3-3,Gestione delle tematiche materiali,9.2 Materialità
"201-1
204-1","Performance economiche
Pratiche di approvvigionamento","5.1 Attività di business
5.2 Performance economica, patrimoniale e finanziaria
5.9.1 Valore economico generato e distribuito"
