0,1,2
2-6,"Attività, catena del valore e altre relazioni commerciali","1.2 Il sistema aeroportuale romano
1.4 Il modello di creazione di valore
2.3 Il modello di business"
2-7,Dipendenti,"5.6 Persone
9.4 Indicatori di performance GRI"
2-8,Lavoratori non dipendenti,Informazione non disponibile.
