0,1,2,3
Depositi bancari e postali,372.596,381.600,(9.004)
Mezzi Equivalenti,620.000,250.000,370.000
Denaro e valori in cassa,22,24,(2)
"Conti correnti di corrispondenza
verso controllate",2.567,6.993,(4.426)
"TOTALE DISPONIBILITÀ LIQUIDE
E MEZZI EQUIVALENTI",995.185,638.617,356.568
