0,1,2,3,4,5
,enoizircseD,otatS,")orue
otsoC
02ottegorP id
inoiliM(
elatoT","otacollA
)orue
id
otropmI inoiliM(",
"Molo d’imbarco
e Avancorpo T3","I lavori hanno portato al com-
pletamento di queste nuove
infrastrutture:
–
Molo d’imbarco E;
–
Estensione del Termi-
nal 3;
–
Sistema HBS-BHS
dedicato al sistema del
terminal ovest.
I nuovi edifici contribuisco-
no a offrire ai passeggeri
un’esperienza aeroportuale
senza soluzione di continuità
attraverso 14 contact gate
e 8 gate per gli autobus,
all’interno di una struttura
innovativa dotata di impianti
tecnologicamente avanzati,
implementati in linea con le
migliori pratiche energetiche
e di costruzione.",Completato,"341,00","170,50",57%
"• 1
Sviluppo a Est","I lavori riguardano il
completamento di queste
nuove infrastrutture:
–
Nuovo molo d’imbarco
A e relativi piazzali;
–
Estensione del Terminal
1 e sala commerciale;
–
Ristrutturazione
dell’area d’imbarco C,
per migliorare l’area
commerciale airside;
–
Nuova immigration
process area.
L’obiettivo di questi interventi
è di offrire ai passeggeri
un’esperienza aeroportuale
senza soluzione di continuità,
attraverso 23 nuovi gate (13
contact e 10 per autobus) e
3 nuovi nastri per il ritiro dei
bagagli. Tutti gli impianti
sono stati progettati in linea
con i più elevati standard
in termini di costruzione e
misure energetiche. Il molo A
sarà certificato LEED.","In corso
–
Nuovo molo d’imbarco
A e relativi piazzali –
completato a maggio
2022;
–
Estensione del Terminal
1 e sala commerciale
– parzialmente inau-
gurato tra agosto 2021
e maggio 2022, com-
pletamento previsto ad
aprile 2023;
–
Ristrutturazione
dell’area d’imbarco C,
per migliorare l’area
commerciale airside
– rilasci progressivi
previsti tra giugno 2023
e giugno 2024;
–
Nuova immigration
process area – comple-
tato a maggio 2022","385,1021","106,71",36%
TOTALE,,,"726,10","277,21",92%
