0,1,2,3,4,5
Tipo di contratto: FULL TIME,No.,2.370,2.292,2.205,2.213
Uomo,No.,1.738,1.704,1.610,1.621
Donna,No.,632,588,595,592
Tipo di contratto: PART TIME,No.,1.397,1.053,916,1.346
Uomo,No.,590,402,352,524
Donna,No.,807,651,564,822
