0,1,2,3,4,5
,UdM,Baseline29,,2Δ0%22,
"Emissioni di CO – Scope 1 e 2
2","tCO
2",59.173,,55.174,"-6,8%"
"Emissioni di CO – Scope 3 (escluse fonti da aeromobili) per
2
passeggero","Kg CO /
2
passeggero","14,3",,"17,8","24,5%"
"Gender Diversity30
(% donne con posizione manageriale in rapporto al numero totale di
dipendenti con posizione manageriale)",%,"28,1%",,"29,2%","1,1%"
