0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,31.12.2020,,,,VARIAZIONE,,,,,,,
(migliaia di euro),otsoC,,"ot.mmA
odnoF","otten
eorlaV",.mitsevnI,,it.mmA,"inoizairaV
ertlA","aerA
.losnoC
en.raV",inoizaneilA,otsoC,"ot.mmA
odnoF","otten
eorlaV"
Terreni e fabbricati,16.056,,(227),15.829,0,,(188),1,115,,16.837,(1.080),15.757
Impianti e macchinari,89.759,,(76.582),13.177,523,,(8.932),373,1.605,0,98.476,(91.730),6.746
"Attrezzature industriali e
commerciali",14.912,,(13.134),1.778,410,,(720),357,13,0,15.698,(13.860),1.838
Altri beni,39.943,,(31.417),8.526,1.866,,(3.590),5.714,42,0,47.294,(34.736),12.558
"Immobilizzazioni in corso e
acconti",9.797,,0,9.797,6.891,,0,(7.028),390,0,10.050,0,10.050
"Diritto d’uso su Immobili,
impianti, macchinari
ed altri beni",5.118,,(2.261),2.857,2.728,,(1.442),(194),0,0,5.997,(2.048),3.949
TOTALE ATTIVITÀ MATERIALI,175.585,,(123.621),51.964,12.418,,(14.872),(777),2.165,0,194.352,(143.454),50.898
