0,1,2,3,4,5,6
,,"Crediti non
scaduti",,,,
(migliaia di euro),,,,Da 0 a 90 giorni,Tra 90 e 365 giorni,> 1 anno
31.12.2022,36.658,36.043,,0,0,615
31.12.2021,265.341,264.726,,0,0,615
