0,1,2,3,4,5,6,7
,,"-nalib
id
erolaV
oic","etnerroc
atouQ","-roc
non
atouQ etner","-nalib
id
erolaV
oic","etnerroc
atouQ","-roc
non
atouQ etner"
ALTRE ATTIVITÀ FINANZIARIE,,,,,,,
Derivati con fair value attivo,54.654,,54.654,0,1.900,1.900,0
Altre attività finanziarie,20.665,,3.236,17.429,2.494,1.776,718
TOTALE ALTRE ATTIVITÀ FINANZIARIE,75.319,,57.890,17.429,4.394,3.676,718
