0,1,2,3
Debiti verso fornitori,101.003,83.415,17.588
Debiti verso imprese controllate,109.265,62.546,46.719
Debiti verso imprese controllanti,583,185,398
Risconti passivi,5.983,6.521,(538)
Acconti e anticipi ricevuti,15.385,7.193,8.192
TOTALE DEBITI COMMERCIALI,232.219,159.860,72.359
