0,1,2,3
Crediti verso società collegate,482,482,0
Crediti tributari,25.666,30.270,(4.604)
Crediti verso altri,1.953,226.167,(224.214)
Crediti verso controllate,2.725,0,2.725
"TOTALE ALTRE ATTIVITÀ
CORRENTI",30.826,256.919,(226.093)
