0,1,2
Carburante e lubrificanti,1.173,849
"Energia elettrica, gas e acqua",5.460,4.644
"Materiali di consumo, ricambi e materiali vari",4.253,3.095
TOTALE CONSUMO DI MATERIE PRIME E MATERIALI DI CONSUMO,10.886,8.588
