0,1,2,3,4,5,6,7,8
,,31.12.2021,,,VARIAZIONI,,,
(migliaia di euro),"oicnalib
erolaV
id",,"inoisneccA
evouN",isrobmiR,,"eznereffiD
oibmac","otsoc otazzitromma
otteffE","oicnalib
erolaV
id"
Prestiti obbligazionari,1.521.416,,0,0,,(13.458),7.105,1.515.063
quota corrente,0,,,,,,,242.058
quota non corrente,1.521.416,,,,,,,1.273.005
