0,1,2,3,4,5
,"id oicnalib
erolaV","-ca
inoisnec
evouN","itnemercnI
-autta
.niF.zil
rep",isrobmiR,"id oicnalib
erolaV"
Debiti per locazioni,3.925,11,29,(1.354),2.611
quota corrente,1.333,,,,1.060
quota non corrente,2.592,,,,1.551
