0,1,2,3,4,5,6
,31.12.2021,,VARIAZIONI,,,
(migliaia di euro),"Valore
di bilancio","Nuove
Accensioni",,Rimborsi,"Effetto costo
ammortizzato","Valore
di bilancio"
Finanziamenti a medio/lungo termine,674.244,0,,(17.884),277,656.637
quota corrente,17.884,,,,,39.423
quota non corrente,656.360,,,,,617.214
