0,1,2,3
Crediti verso clienti,367.602,346.980,20.622
Crediti verso impresa controllante,19,131,(112)
Altri crediti commerciali,4.503,4.004,499
"Totale crediti commerciali, al lordo del fondo svalutazione",372.124,351.115,21.009
Fondo svalutazione crediti,(162.447),(164.775),2.328
Fondo svalutazione crediti per interessi di mora,(1.732),(1.743),11
Totale fondo svalutazione crediti,(164.179),(166.518),2.339
TOTALE CREDITI COMMERCIALI,207.945,184.597,23.348
