0,1,2,3,4,5,6,7,8
,"elanimon
)atulav
erolaV
ni(",atulaV,"ooiiccnnaalliibb
eerroollaaVV
iidd","ossif
esseretni
id
ossaT","àticidoireP otnemagap
isseretni",osrobmiR,"elatot
ataruD",
Classe A4 (*),215.000,GBP,242.058,"5,441%",semestrale,bullet,20 anni,02.2023
"€500.000.000 1,625% EMTN 06.2027",500.000,EUR,481.840,"1,625%",annuale,bullet,10 anni,06.2027
"€300.000.000 1,625% EMTN 02.2029 – “GREEN BOND”",300.000,EUR,298.275,"1,625%",annuale,bullet,"8 anni e
2 mesi",02.2029
"€500.000.000 1,750% EMTN 07.2031 – “SUSTAINABILITY-
LINKED BOND”",500.000,EUR,492.890,"1,750%",annuale,bullet,"10 anni e
3 mesi",07.2031
TOTALE PRESTITI OBBLIGAZIONARI,,,1.515.063,,,,,
