0,1,2
Proventi per interessi,,
Interessi su depositi bancari e crediti finanziari,3.135,523
Interessi da imprese controllate,236,66
Proventi su derivati,,
Valutazione derivati,1.044,16.958
Altri proventi,,
Interessi da clienti e da altri,72,4
TOTALE PROVENTI FINANZIARI,4.487,17.551
