0,1,2
UTILE (PERDITA) DELL’ESERCIZIO,45.059,(37.958)
Quota strumenti finanziari derivati di copertura cash flow hedge,100.982,42.133
Effetto fiscale,(24.235),(10.112)
"Quota di pertinenza delle “altre componenti dell’utile complessivo” delle partecipazioni
valutate con il metodo del patrimonio netto",(26),9
"Altre componenti del conto economico complessivo riclassificabili nel conto
economico, al netto dell’effetto fiscale",76.721,32.030
Utili (perdite) da valutazione attuariale di fondi per benefici ai dipendenti,1.624,(427)
Effetto fiscale,(390),103
Utili (perdite) da valutazione al fair value delle partecipazioni,0,(13.020)
"Altre componenti del conto economico complessivo che non saranno
successivamente riclassificate nel conto economico, al netto dell’effetto fiscale",1.234,(13.344)
,,
"Riclassifiche delle altre componenti del conto economico complessivo nel conto
economico dell’esercizio",4.883,3.224
,,
"Totale delle altre componenti del conto economico complessivo, al netto
dell’effetto fiscale",82.838,21.910
,,
UTILE (PERDITA) COMPLESSIVO DELL’ESERCIZIO,127.897,(16.048)
di cui:,,
Utile (perdita) di pertinenza del Gruppo,127.897,(16.125)
Utile (perdita) di pertinenza di Terzi,0,77
