0,1,2,3,4
Fondo svalutazione crediti,164.775,(866),(1.462),162.447
Fondo svalutazione crediti per interessi di mora,1.743,0,(11),1.732
TOTALE FONDO SVALUTAZIONE CREDITI COMMERCIALI,166.518,(866),(1.473),164.179
