0,1,2,3,4,5
TEMPO INDETERMINATO,No.,3.299,3.191,3.112,3.104
Uomini,No.,2.093,2.046,1.958,1.957
Donne,No.,1.206,1.145,1.154,1.147
TEMPO DETERMINATO,No.,468,154,9,455
Uomini,No.,235,60,4,188
Donne,No.,233,94,5,267
TOTALE DIPENDENTI,No.,3.767,3.345,3.121,3.559
Totale Uomini,No.,2.328,2.106,1.962,2.145
Totale Donne,No.,1.439,1.239,1.159,1.414
