0,1
Ricavi da gestione aeroportuale di cui:,desumibile dai prospetti contabili consolidati
Ricavi aviation,vedi nota 7.1 delle Note illustrative
Ricavi non aviation,vedi nota 7.1 delle Note illustrative
Ricavi per servizi di costruzione,desumibile dai prospetti contabili consolidati
Altri ricavi operativi,desumibile dai prospetti contabili consolidati
TOTALE RICAVI,
Costi esterni gestionali,Sono così calcolati
,"+ Consumo di materie prime e materiali di consumo (desumibile dai prospetti
contabili consolidati)"
,+ Costi per servizi (desumibile dai prospetti contabili consolidati)
,- Costi dei servizi di costruzione (vedi Nota 7.3 delle Note illustrative)
