0,1,2,3,4,5,6,7
,31.12.2021,,VARIAZIONI,,,,
(migliaia di euro),"oicnalib
erolaV
id","inoisneccA
evouN",,".zilautta
itnemercnI
rep .nif",isrobmiR,inoissimsiD,"oicnalib
erolaV
id"
Debiti per locazioni,4.382,199,,35,(1.512),(63),3.041
quota corrente,1.478,,,,,,1.224
quota non corrente,2.904,,,,,,1.817
