0,1,2,3
Depositi bancari e postali,404.582,411.303,(6.721)
Mezzi Equivalenti,620.000,250.000,370.000
Denaro e valori in cassa,403,337,66
TOTALE DISPONIBILITÀ LIQUIDE E MEZZI EQUIVALENTI,1.024.985,661.640,363.345
