0,1,2,3,4,5
TEMPO INDETERMINATO,No.,3.299,3.191,3.112,3.104
FCO,No.,3.025,2.908,2.847,2.835
CIA,No.,274,283,265,269
TEMPO DETERMINATO,No.,468,154,9,455
FCO,No.,445,138,9,411
CIA,No.,23,16,0,44
TOTALE,No.,3.767,3.345,3.121,3.559
Totale FCO,No.,3.470,3.046,2.856,3.246
Totale CIA,No.,297,299,265,313
