0,1,2,3,4,5
FIUMICINO,,,,,
Totale tonnellate rifiuti,ton,8.035,4.834,4.793,12.775
Rifiuti avviati a recupero71,%,"99,98",99,98,98
CIAMPINO,,,,,
Totale tonnellate rifiuti,ton,988,627,560,1.132
Rifiuti avviati a recupero,%,98,80,65,74
