0,1,2,3,4,5,6
,,,,,"arutrepoc
etidrep
reP","inoigar
ertla
reP"
CAPITALE SOCIALE,62.225,B,0,,,
RISERVE,,,,,,
Riserva legale 2,12.462,"A, B",17,,,
Riserva sovrapprezzo azioni 3,667.389,"A, B, C",667.389,,,
"Riserva da valutazione strumenti finanziari
derivati di cash flow hedge, al netto degli
effetti fiscali",5.144,B,0,,,
"Riserva da utili (perdite) da valutazione al
fair value di partecipazioni",(40.611),B,0,,,
Altre riserve e utili portati a nuovo,333.566,"A, B, C",333.566,,(188 220),
TOTALE RISERVE,977.950,,1.000.972,,,
TOTALE CAPITALE E RISERVE,1.040.175,,1.000.972,,,
Quota non distribuibile,,,0,,,
Quota distribuibile 4,,,1.000.972,,,
