0,1,2,3,4
,asporto% passeggeri 2019,,% passeggeri 2021,
Auto propria con accompagnatore,"18,2%","41,9%",,"42,7%"
Auto/moto propria,"27,7%","12,0%",,"17,5%"
Treno,"20,1%","18,9%",,"16,5%"
Taxi,"9,9%","15,8%",,"14,4%"
Bus,"18,1%","7,8%",,"7,3%"
NCC,"2,7%","0,8%",,"0,7%"
Auto a noleggio,"2,7%","2,7%",,"0,7%"
Car sharing,"0,6%","0,1%",,"0,2%"
