0,1,2,3,4,5,6,7,8,9,10
,,,,31.12.2022,,,,,,
(migliaia di euro),"oicnalib
erolaV
id",,"etnerroc
atouQ",,"non
etnerroc
atouQ","art
aznedacs
inna
5
nI e
1","ertlo
aznedacs
inna
nI 5
i","oicnalib
erolaV
id","etnerroc
atouQ","non
etnerroc
atouQ"
PASSIVITÀ FINANZIARIE A MEDIO/LUNGO TERMINE,,,,,,,,,,
Prestiti obbligazionari,1.515.063,,242.058,,1.273.005,481.840,791.165,1.521.416,0,1.521.416
Finanziamenti a medio/lungo termine,656.637,,39.423,,617.214,357.584,259.630,674.244,17.884,656.360
Ratei passivi debiti finanziari a medio/lungo termine,16.059,,16.059,,0,0,0,18.541,18.541,0
Altre passività finanziarie,3.041,,1.224,,1.817,1.613,204,4.382,1.478,2.904
Totale passività finanziarie a medio/lungo termine,2.190.800,,298.764,,1.892.036,841.037,1.050.999,2.218.583,37.903,2.180.680
Strumenti Finanziari – Derivati,83.910,,83.910,,0,0,0,119.702,38.472,81.230
TOTALE PASSIVITÀ FINANZIARIE,2.274.710,,382.674,,1.892.036,841.037,1.050.999,2.338.285,76.375,2.261.910
