0,1,2,3,4
Fondo svalutazione crediti,164.377,(891),(1.374),162.112
"Fondo svalutazione crediti
per interessi di mora",1.742,0,(10),1.732
"TOTALE FONDO
SVALUTAZIONE CREDITI
COMMERCIALI",166.119,(891),(1.384),163.844
